# Program: /home/emthompson/anaconda3/envs/ps2ff/bin/run_ps2ff
# Config file: figure4_bot.ini
# Process start: 2017-09-12T12:07:54.058654
# Process finish: 2017-09-12T16:22:12.224970
# rup_dim_model = S14, mech = R, LW = False, AR = 1.0, ndip = 7, mindip = 0.523599, maxdip = 1.047198, ntheta = 73, nxny = 50
# neps = 7, trunc = 3.000000, min_seis_depth = 0.000000, max_seis_depth = 15.000000
"Repi_km","V4","V4.25","V4.5","V4.75","V5","V5.25","V5.5","V5.75","V6","V6.25","V6.5","V6.75","V7","V7.25","V7.5","V7.75","V8","V8.25","V8.5","V8.75","V9"
0.100000,17.340022,16.828219,16.147215,15.251709,14.097171,12.656424,10.953772,9.121603,7.462206,6.438924,6.426026,7.328236,8.552617,9.492050,9.930085,10.044459,10.051027,10.051027,10.051027,10.051027,10.051027
0.125893,17.336739,16.825535,16.145070,15.250062,14.095989,12.655676,10.953422,9.121605,7.462493,6.439400,6.426547,7.328632,8.552792,9.492054,9.930020,10.044386,10.050952,10.050952,10.050952,10.050952,10.050952
0.158489,17.331429,16.821206,16.141619,15.247416,14.094093,12.654477,10.952860,9.121602,7.462944,6.440166,6.427440,7.329450,8.553411,9.492508,9.930404,10.044759,10.051323,10.051323,10.051323,10.051323,10.051323
0.199526,17.322827,16.814209,16.136051,15.243155,14.091041,12.652545,10.951951,9.121589,7.463653,6.441380,6.428907,7.330927,8.554751,9.493715,9.931549,10.045893,10.052454,10.052454,10.052454,10.052454,10.052454
0.251189,17.308883,16.802879,16.127052,15.236279,14.086121,12.649429,10.950473,9.121545,7.464763,6.443283,6.431213,7.333311,8.557036,9.495883,9.933656,10.047986,10.054545,10.054545,10.054545,10.054545,10.054545
0.316228,17.286313,16.784518,16.112480,15.225155,14.078166,12.644383,10.948064,9.121432,7.466494,6.446282,6.434868,7.337107,8.560687,9.499354,9.937031,10.051336,10.057893,10.057893,10.057893,10.057893,10.057893
0.398107,17.249959,16.754790,16.088860,15.207128,14.065271,12.636189,10.944114,9.121172,7.469188,6.451013,6.440662,7.343139,8.566484,9.504854,9.942373,10.056638,10.063193,10.063193,10.063193,10.063193,10.063193
0.501187,17.191930,16.706866,16.050604,15.177878,14.044321,12.622835,10.937604,9.120593,7.473350,6.458425,6.449699,7.352408,8.575260,9.513191,9.950561,10.064824,10.071376,10.071376,10.071376,10.071376,10.071376
0.630957,17.100539,16.630264,15.988885,15.130448,14.010239,12.601015,10.926823,9.119362,7.479732,6.470018,6.463917,7.367054,8.589162,9.526350,9.963406,10.077626,10.084168,10.084168,10.084168,10.084168,10.084168
0.794328,16.959123,16.509483,15.890149,15.053820,13.954811,12.565284,10.908884,9.116810,7.489432,6.488094,6.486276,7.390293,8.611447,9.547558,9.984118,10.098247,10.104781,10.104781,10.104781,10.104781,10.104781
1.000000,16.745056,16.322609,15.734424,14.931098,13.864995,12.506768,10.878932,9.111633,7.503992,6.516144,6.521203,7.426658,8.646468,9.581251,10.017370,10.131515,10.138050,10.138051,10.138051,10.138051,10.138051
1.258925,16.429811,16.040653,15.493881,14.737555,13.720836,12.411317,10.828892,9.101362,7.525518,6.559460,6.575796,7.484005,8.702200,9.635160,10.070689,10.184905,10.191486,10.191493,10.191493,10.191493,10.191493
1.584893,15.980267,15.628778,15.132969,14.439493,13.493459,12.257319,10.745718,9.081476,7.556740,6.625901,6.660640,7.573692,8.789894,9.720575,10.155687,10.270305,10.277060,10.277092,10.277093,10.277093,10.277093
1.995262,15.361479,15.049616,14.611508,13.995776,13.144703,12.013987,10.609409,9.044119,7.600951,6.727085,6.792219,7.714191,8.928417,9.856377,10.291393,10.406983,10.414194,10.414322,10.414329,10.414329,10.414329
2.511886,14.541350,14.269018,13.891299,13.363735,12.630691,11.642176,10.391877,8.976643,7.661663,6.879649,6.995412,7.934251,9.147874,10.073148,10.508847,10.626516,10.634845,10.635280,10.635317,10.635318,10.635318
3.162278,13.497442,13.263609,12.945639,12.510149,11.911333,11.100364,10.059016,8.861092,7.741969,7.106538,7.307041,8.277744,9.494568,10.417869,10.855627,10.977172,10.987780,10.988954,10.989107,10.989114,10.989114
3.981072,12.226254,12.029747,11.769492,11.424655,10.966109,10.357805,9.578421,8.676425,7.843931,7.437451,7.780241,8.812232,10.042467,10.966530,11.408427,11.536182,11.550861,11.553673,11.554222,11.554263,11.554263
5.011872,10.753067,10.593056,10.388461,10.130354,9.809154,9.412810,8.933647,8.404829,7.967797,7.906394,8.485770,9.635651,10.903135,11.834987,12.283939,12.420885,12.442520,12.448709,12.450295,12.450471,12.450478
6.309573,9.138114,9.014146,8.863453,8.687653,8.495233,8.303731,8.137851,8.039583,8.109640,8.542333,9.505317,10.878832,12.236437,13.193570,13.654794,13.804383,13.836216,13.848047,13.851830,13.852500,13.852545
7.943282,7.473480,7.384826,7.285737,7.186803,7.111578,7.104439,7.234078,7.584194,8.251053,9.346481,10.903023,12.683237,14.239291,15.263817,15.748555,15.914493,15.959933,15.981073,15.989735,15.991958,15.992171
10.000000,5.867397,5.811782,5.759902,5.729556,5.756054,5.904481,6.283688,7.044151,8.338137,10.251331,12.663475,15.128033,17.080503,18.268522,18.809343,19.000864,19.065973,19.102234,19.120184,19.126087,19.127028
12.589254,4.421170,4.394234,4.382466,4.408977,4.517454,4.787093,5.354625,6.434151,8.287650,11.085514,14.624684,18.168205,20.875641,22.445324,23.138361,23.388284,23.486741,23.547015,23.582520,23.597818,23.601708
15.848932,3.206511,3.202630,3.222419,3.292489,3.461820,3.818070,4.513581,5.801410,8.054469,11.640807,16.492432,21.642372,25.738837,28.157781,29.249206,29.658408,29.828880,29.936022,30.010149,30.049542,30.062410
19.952623,2.251342,2.264777,2.307795,2.409143,2.620883,3.035393,3.813105,5.224906,7.704576,11.840857,17.988046,25.278367,31.728028,35.915970,38.000666,38.859588,39.222807,39.435657,39.583948,39.672566,39.709100
25.118864,1.542805,1.568722,1.628249,1.751444,1.992222,2.445800,3.277426,4.767499,7.376542,11.835771,19.113665,29.010735,39.142935,46.712586,51.014504,53.005393,53.860906,54.311311,54.609877,54.813350,54.917772
31.622777,1.042381,1.077275,1.148586,1.287241,1.548388,2.029229,2.898706,4.445084,7.148329,11.844829,20.124077,33.078353,48.685617,62.440099,71.438776,76.101004,78.199123,79.237484,79.874804,80.307574,80.549798
39.810717,0.701988,0.743302,0.823003,0.972623,1.248196,1.748444,2.645491,4.235129,7.016684,11.907419,21.032519,37.498800,61.052188,85.508099,103.858417,114.508387,119.697243,122.187167,123.574114,124.467536,125.020425
50.118723,0.476425,0.522217,0.607755,0.764997,1.050632,1.564584,2.481653,4.104366,6.949928,12.000679,21.852483,41.989104,75.816762,116.972689,152.757999,176.160535,188.589907,194.574132,197.703939,199.624941,200.857751
63.095734,0.329565,0.378400,0.467898,0.630317,0.922835,1.446331,2.377788,4.025353,6.921319,12.099336,22.509090,45.795041,91.336610,156.457324,222.317579,270.826173,299.014143,313.183958,320.362520,324.476407,327.039898
79.432823,0.235049,0.285907,0.378038,0.543909,0.841060,1.371122,2.312846,3.978881,6.913634,12.190127,22.996585,48.776421,106.629928,203.049906,315.675710,409.834365,470.341660,502.748389,518.946669,527.718519,533.031262
100.000000,0.174668,0.226849,0.320702,0.488839,0.789072,1.323619,2.272646,3.952390,6.916705,12.268466,23.363165,51.058206,120.128655,252.937369,432.590503,605.076356,728.352942,799.267120,835.316963,854.205820,865.219835
125.892541,0.136268,0.189301,0.284263,0.453872,0.756138,1.293737,2.247957,3.937895,6.924777,12.333985,23.641435,52.667914,130.554001,302.205865,571.460666,868.109141,1105.188081,1253.544751,1332.465068,1372.938926,1395.448482
158.489319,0.111916,0.165491,0.261162,0.431717,0.735319,1.274998,2.232929,3.930464,6.934629,12.387907,23.854475,53.820919,138.658901,348.484150,726.700760,1204.451005,1637.220457,1935.325853,2103.684045,2189.802426,2235.950549
199.526231,0.096500,0.150416,0.246536,0.417696,0.722176,1.263280,2.223883,3.927120,6.944567,12.431879,24.018987,54.674641,144.616519,386.282557,884.352920,1610.504725,2362.416019,2936.166184,3284.233554,3467.356369,3563.085009
251.188643,0.086749,0.140880,0.237280,0.408826,0.713882,1.255968,2.218512,3.926060,6.953783,12.467531,24.146934,55.318563,148.835606,415.620350,1037.929153,2081.174283,3313.278427,4366.255341,5062.750226,5447.892648,5646.411737
316.227766,0.080585,0.134848,0.231424,0.403215,0.708651,1.251420,2.215384,3.926209,6.961907,12.496335,24.247302,55.811471,151.948692,438.292015,1174.072561,2583.027769,4491.582653,6345.195660,7695.270543,8489.390949,8903.060227
398.107171,0.076689,0.131035,0.227719,0.399665,0.705352,1.248601,2.213614,3.926937,6.968819,12.519407,24.326097,56.192247,154.297802,454.560137,1280.555372,3080.103581,5887.349375,8993.703180,11505.101944,13100.224590,13963.499185
501.187234,0.074227,0.128622,0.225373,0.397417,0.703272,1.246861,2.212656,3.927893,6.974578,12.537761,24.387832,56.487632,156.092255,466.427466,1364.580886,3550.370024,7450.531350,12373.421802,16858.640790,19977.907169,21760.613884
630.957344,0.072670,0.127095,0.223886,0.395991,0.701959,1.245792,2.212175,3.928889,6.979317,12.552347,24.436314,56.718016,157.476622,475.344341,1427.298052,3938.120344,9043.277881,16453.782775,24141.261929,30041.665180,33649.648574
794.328235,0.071685,0.126127,0.222942,0.395086,0.701129,1.245140,2.211969,3.929827,6.983184,12.563936,24.474481,56.898658,158.553271,482.150393,1472.433780,4242.053203,10601.365840,21191.196336,33688.677022,44400.740669,51522.703720
1000.000000,0.071061,0.125513,0.222341,0.394509,0.700605,1.244746,2.211916,3.930666,6.986320,12.573144,24.504584,57.040782,159.395130,487.398016,1506.054207,4478.411232,11988.624248,26251.504682,45520.616373,64250.718162,77936.752978
